Cell	SIRI_ID	FI_in_Chromosome	FI_in_Nucleus	FI_in_Cytoplasm
ESC	Chr1_72319191_72325073_+	0.00694444444444	0.0	0.0
ESC	Chr10_80904039_80904114_-	0.2	0.0161290322581	0.00104058272633
ESC	Chr2_166570508_166571529_-	0.0	0.0243902439024	0.0
ESC	Chr1_84744020_84744677_-	0.00271296798698	0.000582411182295	0.000422475707647
ESC	Chr5_122173281_122174054_+	0.0151821862348	0.00238948626045	0.000204960032794
ESC	Chr16_4939639_4940195_+	0.404651162791	0.0674157303371	0.0368217054264
ESC	Chr6_3516745_3517788_+	0.0	0.0	0.0
ESC	Chr14_40998985_41002435_-	0.0294117647059	0.0	0.0
ESC	Chr15_89085638_89085755_+	0.259911894273	0.044776119403	0.0
ESC	Chr4_130312464_130313953_+	0.0614657210402	0.0043087529238	0.000116455106556
ESC	Chr4_43023816_43024562_-	0.0782608695652	0.00280112044818	0.0
ESC	Chr11_76472597_76478994_-	0.0266666666667	0.00934579439252	0.0
ESC	Chr17_45660981_45661222_-	0.0615835777126	0.0	0.0
ESC	Chr8_70869108_70869904_-	0.0250329380764	0.00202511138113	0.000406834825061
